Comment,Designator,Footprint,LCSC Part #
1.3M,R9,R0402,
1M,R8,R0402,
1k65,R6,R0402,
1uF,C7,C0603,
3k3,R7,R0402,
4 7uF,C5,C0603,C19666
4.7uF,C9,C0603,
5.1k,R4 R5,R0402,
10k,R1 R2 R3 R11,R0402,
22uF,C4,C0603,
47uF,C2,C0603,
100k,R12,R0402,
100nF,C1,C0603,
100nF,C6 C8,C0402,
100uF,C3,C1206,
330,R10,R0402,
0805L050,F1,0805L,C66452
AO3401,Q2,SOT23,
BAT60B,D1 D2 D3,SOD323-R,
Boot button,FLASH,TS1088R02026,C455280
EN button,RESET,TS1088R02026,C455280
ESP32-WROOM-32E,IC2,ESP32WROOM32E,
HT7833,LDO,SOT89-BCE,
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
MMDT3904,Q1,SC70-6,C268586
RED,CHARGING,CHIP-LED0603,C2286
TP4054,U1,SOT-23-5,C32574
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
JST-SH-4p,J3,JST-SH-4p,C145956
