Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-14.22,-12.22,Top,180.0
C1,-3.43, 7.04,Top,90.0
C2,-5.46, 7.04,Top,90.0
C3,-10.59, 4.19,Top,270.0
C4,-3.43, 3.43,Top,90.0
C5,-5.46, 3.43,Top,90.0
C6,-1.50,-7.80,Top,90.0
C7,-10.59, 0.18,Top,90.0
C12,-18.49, 9.32,Top,270.0
CHARGING,-25.07, 6.35,Top,180.0
D1,-17.81, 3.56,Top,270.0
D2,-8.74, 7.92,Top,90.0
F1,-8.56,-2.97,Top,180.0
FLASH, 2.08, 8.26,Top,180.0
IC2,22.00, 0.00,Top,180.0
J3,-12.98, 10.33,Top,0.0
J4,-22.50, 0.00,Top,90.0
LDO,-3.43,-1.22,Top,90.0
Q1,-6.00,-7.98,Top,270.0
R1,-8.00,-7.98,Top,90.0
R2,-2.87,-7.98,Top,270.0
R3,-4.07,-7.98,Top,270.0
R4,-19.95,-7.21,Top,180.0
R5,-19.93,-6.12,Top,180.0
R8,-19.53, 9.47,Top,270.0
R9,-20.57, 9.47,Top,90.0
R10,-22.86, 6.35,Top,180.0
R11,-13.92, 3.18,Top,0.0
RESET, 2.08,-8.26,Top,180.0
U1,-13.92, 0.25,Top,0.0
