Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-14.22,-12.22,Top,180.0
C1,-1.98, 7.04,Top,90.0
C2,-4.01, 7.04,Top,90.0
C3,-10.59, 4.19,Top,270.0
C4,-1.22, 3.48,Top,90.0
C5,-3.25, 3.48,Top,90.0
C6,-1.68,-7.97,Top,90.0
C7,-10.59, 0.18,Top,90.0
C8,-18.49, 9.32,Top,270.0
C9,-17.53,-3.51,Top,180.0
CHARGING,-25.07, 6.35,Top,270.0
D1,-17.81, 3.56,Top,270.0
D2,-8.74, 7.92,Top,90.0
D3,-7.14, 4.60,Top,90.0
F1,-4.67,-2.94,Top,90.0
FLASH, 2.08, 8.26,Top,0.0
IC2,22.00, 0.00,Top,270.0
J3,-13.46, 9.17,Top,0.0
J4,-21.00, 0.00,Top,270.0
LDO,-1.22,-1.17,Top,180.0
Q1,-6.00,-7.98,Top,180.0
Q2,-7.57,-3.05,Top,90.0
R1,-8.00,-7.98,Top,90.0
R2,-2.87,-7.98,Top,270.0
R3,-4.07,-7.98,Top,270.0
R4,-19.94,-7.21,Top,180.0
R5,-19.94,-6.12,Top,180.0
R6,-13.59, 2.57,Top,0.0
R7,-13.59, 4.78,Top,0.0
R8,-19.53, 9.32,Top,270.0
R9,-20.57, 9.32,Top,90.0
R10,-22.86, 6.35,Top,180.0
R11,-8.23, 2.31,Top,180.0
R12,-10.77,-3.61,Top,180.0
RESET, 2.08,-8.26,Top,180.0
U1,-13.92, 0.25,Top,0.0
