Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-30.04,-4.32,Top,90.0
C1,-0.47,-4.80,Top,0.0
C2,-4.93,-1.27,Top,270.0
C3,-18.75, 7.49,Top,180.0
C4, 1.36, 4.78,Top,0.0
C5,-0.47,-2.62,Top,0.0
C6,-17.14,-8.97,Top,180.0
C7,-11.89,-2.18,Top,90.0
CHARGING,-27.91, 6.83,Top,180.0
CHRG,-17.42, 2.31,Top,0.0
D1,-18.75, 5.66,Top,180.0
D2,-15.24, 7.92,Top,90.0
ESP32,18.50, 0.00,Top,180.0
F1,-4.32, 5.61,Top,180.0
FLASH,-21.59,11.18,Top,180.0
LDO, 0.66, 1.14,Top,0.0
Q1,-8.03,-7.65,Top,270.0
R1,-10.03,-7.65,Top,90.0
R2,-4.90,-7.65,Top,270.0
R3,-6.10,-7.65,Top,270.0
R10,-17.40, 0.81,Top,180.0
R11,-11.89, 0.99,Top,90.0
RESET,-21.59,-11.18,Top,0.0
U1,-15.24,-2.18,Top,180.0
